id,index,period,timestamp,minute,second,type.id,type.name,possession,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,duration,tactics.formation,tactics.lineup[0].player.id,tactics.lineup[0].player.name,tactics.lineup[0].position.id,tactics.lineup[0].position.name,tactics.lineup[0].jersey_number,tactics.lineup[1].player.id,tactics.lineup[1].player.name,tactics.lineup[1].position.id,tactics.lineup[1].position.name,tactics.lineup[1].jersey_number,tactics.lineup[2].player.id,tactics.lineup[2].player.name,tactics.lineup[2].position.id,tactics.lineup[2].position.name,tactics.lineup[2].jersey_number,tactics.lineup[3].player.id,tactics.lineup[3].player.name,tactics.lineup[3].position.id,tactics.lineup[3].position.name,tactics.lineup[3].jersey_number,tactics.lineup[4].player.id,tactics.lineup[4].player.name,tactics.lineup[4].position.id,tactics.lineup[4].position.name,tactics.lineup[4].jersey_number,tactics.lineup[5].player.id,tactics.lineup[5].player.name,tactics.lineup[5].position.id,tactics.lineup[5].position.name,tactics.lineup[5].jersey_number,tactics.lineup[6].player.id,tactics.lineup[6].player.name,tactics.lineup[6].position.id,tactics.lineup[6].position.name,tactics.lineup[6].jersey_number,tactics.lineup[7].player.id,tactics.lineup[7].player.name,tactics.lineup[7].position.id,tactics.lineup[7].position.name,tactics.lineup[7].jersey_number,tactics.lineup[8].player.id,tactics.lineup[8].player.name,tactics.lineup[8].position.id,tactics.lineup[8].position.name,tactics.lineup[8].jersey_number,tactics.lineup[9].player.id,tactics.lineup[9].player.name,tactics.lineup[9].position.id,tactics.lineup[9].position.name,tactics.lineup[9].jersey_number,tactics.lineup[10].player.id,tactics.lineup[10].player.name,tactics.lineup[10].position.id,tactics.lineup[10].position.name,tactics.lineup[10].jersey_number,related_events,player.id,player.name,position.id,position.name,location,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,carry.end_location,under_pressure,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,counterpress,interception.outcome.id,interception.outcome.name,duel.type.id,duel.type.name,duel.outcome.id,duel.outcome.name,pass.switch,pass.through_ball,pass.technique.id,pass.technique.name,dribble.outcome.id,dribble.outcome.name,pass.cross,clearance.right_foot,clearance.body_part.id,clearance.body_part.name,clearance.left_foot,off_camera,out,pass.assisted_shot_id,pass.shot_assist,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.outcome.id,shot.outcome.name,shot.technique.id,shot.technique.name,shot.freeze_frame[0].location,shot.freeze_frame[0].player.id,shot.freeze_frame[0].player.name,shot.freeze_frame[0].position.id,shot.freeze_frame[0].position.name,shot.freeze_frame[0].teammate,shot.freeze_frame[1].location,shot.freeze_frame[1].player.id,shot.freeze_frame[1].player.name,shot.freeze_frame[1].position.id,shot.freeze_frame[1].position.name,shot.freeze_frame[1].teammate,shot.freeze_frame[2].location,shot.freeze_frame[2].player.id,shot.freeze_frame[2].player.name,shot.freeze_frame[2].position.id,shot.freeze_frame[2].position.name,shot.freeze_frame[2].teammate,shot.freeze_frame[3].location,shot.freeze_frame[3].player.id,shot.freeze_frame[3].player.name,shot.freeze_frame[3].position.id,shot.freeze_frame[3].position.name,shot.freeze_frame[3].teammate,shot.freeze_frame[4].location,shot.freeze_frame[4].player.id,shot.freeze_frame[4].player.name,shot.freeze_frame[4].position.id,shot.freeze_frame[4].position.name,shot.freeze_frame[4].teammate,shot.freeze_frame[5].location,shot.freeze_frame[5].player.id,shot.freeze_frame[5].player.name,shot.freeze_frame[5].position.id,shot.freeze_frame[5].position.name,shot.freeze_frame[5].teammate,shot.freeze_frame[6].location,shot.freeze_frame[6].player.id,shot.freeze_frame[6].player.name,shot.freeze_frame[6].position.id,shot.freeze_frame[6].position.name,shot.freeze_frame[6].teammate,shot.freeze_frame[7].location,shot.freeze_frame[7].player.id,shot.freeze_frame[7].player.name,shot.freeze_frame[7].position.id,shot.freeze_frame[7].position.name,shot.freeze_frame[7].teammate,shot.freeze_frame[8].location,shot.freeze_frame[8].player.id,shot.freeze_frame[8].player.name,shot.freeze_frame[8].position.id,shot.freeze_frame[8].position.name,shot.freeze_frame[8].teammate,shot.freeze_frame[9].location,shot.freeze_frame[9].player.id,shot.freeze_frame[9].player.name,shot.freeze_frame[9].position.id,shot.freeze_frame[9].position.name,shot.freeze_frame[9].teammate,shot.freeze_frame[10].location,shot.freeze_frame[10].player.id,shot.freeze_frame[10].player.name,shot.freeze_frame[10].position.id,shot.freeze_frame[10].position.name,shot.freeze_frame[10].teammate,shot.freeze_frame[11].location,shot.freeze_frame[11].player.id,shot.freeze_frame[11].player.name,shot.freeze_frame[11].position.id,shot.freeze_frame[11].position.name,shot.freeze_frame[11].teammate,shot.freeze_frame[12].location,shot.freeze_frame[12].player.id,shot.freeze_frame[12].player.name,shot.freeze_frame[12].position.id,shot.freeze_frame[12].position.name,shot.freeze_frame[12].teammate,shot.freeze_frame[13].location,shot.freeze_frame[13].player.id,shot.freeze_frame[13].player.name,shot.freeze_frame[13].position.id,shot.freeze_frame[13].position.name,shot.freeze_frame[13].teammate,shot.freeze_frame[14].location,shot.freeze_frame[14].player.id,shot.freeze_frame[14].player.name,shot.freeze_frame[14].position.id,shot.freeze_frame[14].position.name,shot.freeze_frame[14].teammate,shot.freeze_frame[15].location,shot.freeze_frame[15].player.id,shot.freeze_frame[15].player.name,shot.freeze_frame[15].position.id,shot.freeze_frame[15].position.name,shot.freeze_frame[15].teammate,shot.freeze_frame[16].location,shot.freeze_frame[16].player.id,shot.freeze_frame[16].player.name,shot.freeze_frame[16].position.id,shot.freeze_frame[16].position.name,shot.freeze_frame[16].teammate,shot.freeze_frame[17].location,shot.freeze_frame[17].player.id,shot.freeze_frame[17].player.name,shot.freeze_frame[17].position.id,shot.freeze_frame[17].position.name,shot.freeze_frame[17].teammate,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,clearance.aerial_won,clearance.head,foul_committed.advantage,foul_won.advantage,shot.one_on_one,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.outcome.id,goalkeeper.outcome.name,pass.aerial_won,dribble.nutmeg,dribble.overrun,shot.first_time,pass.deflected,pass.goal_assist,miscontrol.aerial_won,clearance.other,shot.aerial_won,ball_recovery.recovery_failure,foul_won.defensive,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,foul_committed.type.id,foul_committed.type.name,foul_committed.card.id,foul_committed.card.name,pass.no_touch,pass.inswinging,shot.freeze_frame[18].location,shot.freeze_frame[18].player.id,shot.freeze_frame[18].player.name,shot.freeze_frame[18].position.id,shot.freeze_frame[18].position.name,shot.freeze_frame[18].teammate,block.deflection,pass.cut_back,shot.freeze_frame[19].location,shot.freeze_frame[19].player.id,shot.freeze_frame[19].player.name,shot.freeze_frame[19].position.id,shot.freeze_frame[19].position.name,shot.freeze_frame[19].teammate,block.offensive,shot.deflected
9d9578b5-c08c-4279-8f74-b6b1497398c1,1,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,352.0,20055.0,Marc-André ter Stegen,1.0,Goalkeeper,1.0,32480.0,Ronald Federico Araújo da Silva,3.0,Right Center Back,4.0,5213.0,Gerard Piqué Bernabéu,4.0,Center Back,3.0,6826.0,Clément Lenglet,5.0,Left Center Back,15.0,5477.0,Ousmane Dembélé,7.0,Right Wing Back,11.0,5211.0,Jordi Alba Ramos,8.0,Left Wing Back,18.0,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5.0,39073.0,Moriba Kourouma Kourouma,13.0,Right Center Midfield,27.0,30486.0,Pedro González López,15.0,Left Center Midfield,16.0,5487.0,Antoine Griezmann,22.0,Right Center Forward,7.0,5503.0,Lionel Andrés Messi Cuccittini,24.0,Left Center Forward,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008c221-4ae6-4f3c-b45f-151026e68e6e,2,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,442.0,40890.0,Iván Villar Martínez,1.0,Goalkeeper,1.0,22029.0,Kevin Vázquez Comesaña,2.0,Right Back,20.0,11388.0,Néstor Alejandro Araújo Razo,3.0,Right Center Back,4.0,75546.0,Carlos Domínguez Cáceres,5.0,Left Center Back,40.0,6757.0,Aarón Martín Caricol,6.0,Left Back,19.0,6799.0,Brais Méndez Portela,12.0,Right Midfield,23.0,11389.0,Francisco José Beltrán Peinado,13.0,Right Center Midfield,8.0,6609.0,Denis Suárez Fernández,15.0,Left Center Midfield,6.0,6724.0,Manuel Agudo Durán,16.0,Left Midfield,9.0,5217.0,Iago Aspas Juncal,22.0,Right Center Forward,10.0,6594.0,Santiago Mina Lorenzo,24.0,Left Center Forward,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35d940f0-f9ee-47a0-b922-84c0ddaef022,3,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['199204d2-f503-4720-a1a5-dbf9c61095d4'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199204d2-f503-4720-a1a5-dbf9c61095d4,4,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['35d940f0-f9ee-47a0-b922-84c0ddaef022'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daac9c8d-95b6-4e42-8cfa-b05779fd7755,5,1,00:00:00.955,0,0,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.799964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['858471b5-e287-434a-b397-afe911c6968e'],5503.0,Lionel Andrés Messi Cuccittini,24.0,Left Center Forward,"[60.0, 40.0]",5203.0,Sergio Busquets i Burgos,10.868302,-2.9189317,1.0,Ground Pass,"[49.4, 37.6]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858471b5-e287-434a-b397-afe911c6968e,6,1,00:00:01.755,0,1,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['daac9c8d-95b6-4e42-8cfa-b05779fd7755'],5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,"[49.4, 37.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bab938f-718c-4cb1-8f79-48ac1fd2f6fd,7,1,00:00:01.755,0,1,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.987628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['858471b5-e287-434a-b397-afe911c6968e', 'f29cb427-30ed-4011-89cb-9df2fcee58fb']",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,"[49.4, 37.6]",,,,,,,,,,,,"[52.1, 37.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f29cb427-30ed-4011-89cb-9df2fcee58fb,8,1,00:00:02.742,0,2,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.69615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['ed15758c-502a-493a-a4d1-a4059b01de01'],5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,"[52.1, 37.6]",39073.0,Moriba Kourouma Kourouma,19.983242,1.706324,1.0,Ground Pass,"[49.4, 57.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed15758c-502a-493a-a4d1-a4059b01de01,9,1,00:00:05.438,0,5,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['f29cb427-30ed-4011-89cb-9df2fcee58fb'],39073.0,Moriba Kourouma Kourouma,13.0,Right Center Midfield,"[49.4, 57.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257003ba-4790-4bba-bce1-39c95757ed84,10,1,00:00:05.438,0,5,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.194297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4bc313bb-5da0-47f3-a1dc-72c59984086e'],39073.0,Moriba Kourouma Kourouma,13.0,Right Center Midfield,"[49.4, 57.4]",32480.0,Ronald Federico Araújo da Silva,15.276452,2.8012106,1.0,Ground Pass,"[35.0, 62.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
